"","gender","age","home_lang","english_length_nohome","wear_glasses","employment","annual_income","education","male_model","shade","clear_shade","med_shade","dark_shade","p_glasses","p_shade","p_pupilvis","ads_trust","ads_goalinform","ads_informative","ads_truthful","ads_reliablesource","ads_truepicture","ads_accuratelyinformedby","ads_essentialinfo","recommend","wtb","value_assess","model_competent","model_pushyr","model_genuine","model_professional","model_credible","model_fake","model_follower","model_sincere","model_moral","model_assertive","model_charm","model_suspicious","model_peaceful","model_calm","model_subordinate","model_knowledgeable","model_sociable","model_trustworthy","model_honest","model_friendly","model_reliable","model_manipulative","model_experienced","model_respectful","model_phony","model_familiar","model_nosecret","model_mysterious","model_known","model_natural","model_notweird","model_clear","model_attract","model_classy","model_sexy","model_beautiful","model_elegant","model_warm","product_unsatisfac","product_lowqual","product_bad","product_dislike","product_awful","product_negative","product_unfavorable","product_common","product_useless","product_worthless","product_notunique","product_inexpensive","ad_describe","adrate_bad","adrate_unfavorable","adrate_lowqual","adrate_negative","adrate_unattract","adrate_useless","adrate_awful","adrate_notapprop","adrate_ineffective","adrate_unconvinc","female_clear","male_clear","female_med","female_dark","male_med","male_dark"
"116",2,46,"english","",1,1,3,2,1,0,1,0,0,1,2,4,2,2,2,2,3,2,2,1,6,1,"699",7,2,7,5,7,1,4,7,6,6,6,1,4,7,2,7,7,6,6,7,5,2,4,7,2,1,7,4,1,7,7,7,5,2,4,4,1,7,1,2,1,1,1,1,1,3,1,2,6,4,"A set of wicker furniture with plush comfie cushions. A pic of man saying ""its my choice because it's the right choice. / It's a good ad, but needs a price to be shown",1,1,2,1,1,1,1,1,1,2,0,1,0,0,0,0
"117",2,35,"English","",2,1,5,5,0,0,1,0,0,1,1,4,4,4,4,4,5,3,4,4,3,4,"700",4,4,5,3,3,7,4,2,5,4,3,4,5,5,4,3,5,4,4,5,5,5,2,6,7,3,3,3,1,4,5,6,4,3,3,4,2,5,4,3,4,3,3,3,3,5,3,4,4,4,"ad for wicker furniture, woman with glasses smiling, arms crossed, a wicker seating set in background",6,5,5,5,6,6,5,5,5,6,1,0,0,0,0,0
"118",2,46,"english","",1,2,1,2,1,1,0,1,0,1,4,4,2,1,1,2,2,2,2,2,6,2,"1399",6,1,6,4,6,1,4,6,6,4,5,1,5,6,4,6,6,6,6,6,6,1,4,5,1,1,7,1,1,6,6,7,3,4,3,3,3,5,1,1,2,2,2,1,2,2,2,2,2,2,"a outdoor wicker set with a love seat and a chair with grey cushions on it. A young man with sunglasses on and a red checkered shirt is standing there.",3,3,3,2,4,3,3,1,3,3,0,0,0,0,1,0
"119",1,38,"Chinese (Cantonese)","27",2,1,2,5,0,2,0,0,1,2,2,2,2,3,2,2,3,3,3,2,4,4,"280",4,3,5,4,5,3,4,5,5,4,5,4,5,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,5,5,5,3,3,3,3,3,3,3,4,4,4,3,4,"An ad for furniture, that would suit any taste. The furniture have a light color base and have plush pillows for comfort.",4,4,4,3,3,3,3,3,4,3,0,0,0,1,0,0
"120",1,36,"English","",2,1,4,5,1,1,0,1,0,1,3,2,3,3,2,3,2,2,2,2,6,2,"250",7,2,7,7,6,1,3,6,5,5,5,2,7,7,5,7,6,6,6,6,7,2,4,7,1,6,6,3,6,7,7,7,4,4,4,4,4,6,1,1,1,1,1,1,1,1,1,1,1,4,"Having ""It's my choice because it's the right choice"" is very interesting as a slogan. I find it to focus on the customer right off the bat. They showcase the wicker furniture very well. Nice ad overall. ",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
"121",2,79,"english","all my life",2,5,4,5,0,1,0,1,0,2,3,3,4,3,2,3,3,2,2,2,5,3,"300",7,1,7,4,6,1,5,5,4,4,5,1,4,4,4,4,5,5,5,6,5,3,4,4,2,5,6,2,4,6,6,6,6,4,4,5,3,5,1,2,1,1,1,1,1,3,1,4,4,4,"outdoor wicker furniture , stylish, comfortable, and durable for everyone",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
"122",1,52,"English","",1,3,1,3,1,2,0,0,1,1,1,2,2,1,3,2,3,3,3,2,5,3,"299",6,2,7,5,7,2,4,6,7,5,5,1,7,7,4,5,6,7,7,7,6,1,6,6,2,5,7,3,4,6,7,6,6,4,4,3,2,6,3,2,2,3,2,3,3,4,2,3,5,3,"I see a comfortable outdoor wicker set. It doesn't seem too different from other ads I've seen.",3,2,2,3,3,2,2,1,4,5,0,0,0,0,0,1
"123",2,44,"English","",2,1,3,2,1,2,0,0,1,1,5,5,3,2,2,3,2,2,2,2,6,2,"400",7,2,6,2,5,6,3,5,6,6,7,2,4,6,3,6,7,6,6,7,5,4,6,6,4,7,7,1,5,6,5,5,6,5,4,4,4,6,1,1,1,1,1,1,1,2,1,1,3,3,"All weather wicker furniture that's great for entertaining and a guy in a red flannel wearing sunglasses.",2,2,2,1,2,1,2,1,2,1,0,0,0,0,0,1
"124",2,52,"english","na",2,7,2,3,0,1,0,1,0,1,5,5,4,4,3,5,4,4,5,4,6,1,"349",6,5,5,5,4,4,3,4,4,6,3,4,3,5,3,5,4,4,4,4,4,6,5,4,5,2,3,5,3,4,4,5,6,5,4,6,3,3,1,1,1,1,1,1,1,2,1,2,2,1,"A four piece set of wicker furniture with thick cushions. A woman in a red plaid shirt standing in front of it. ",2,1,1,1,1,2,1,1,2,2,0,0,1,0,0,0
"125",2,23,"english","23 years",1,2,4,5,0,0,1,0,0,1,1,2,4,4,2,4,5,5,4,2,5,4,"400",6,1,5,3,3,6,5,3,6,3,4,2,6,7,5,5,4,5,6,5,5,2,2,5,3,5,7,1,5,6,3,6,2,3,1,4,1,5,2,3,2,2,2,1,3,6,3,4,6,5,"Ad for outdoor furniture, blue/grey and wicker seating on a deck in the background, and a young woman with glasses in the foreground. I thought that she looked younger than what the target demographic of this ad actually would be",3,4,5,2,4,3,2,2,3,3,1,0,0,0,0,0
"126",1,30,"English","",2,1,2,6,0,2,0,0,1,1,5,5,5,5,5,4,4,4,5,5,4,5,"1500",5,2,5,6,5,2,4,5,5,5,7,5,6,6,4,4,7,4,4,5,5,4,3,5,2,6,5,5,6,5,4,4,6,5,6,6,6,6,3,3,3,4,3,3,3,4,1,3,2,3,"A sofa and a woman with sunglasses smiling.  And a description that talks about the sofa and how comfortable it is.",4,3,3,3,3,4,3,5,3,4,0,0,0,1,0,0
"127",2,44,"English","",1,4,3,3,1,0,1,0,0,1,1,3,2,4,2,2,2,2,4,2,5,3,"250",5,5,4,3,4,3,4,5,5,3,4,2,6,6,6,5,5,5,5,6,5,3,4,6,3,5,5,3,5,6,5,6,5,5,3,5,2,6,3,3,2,2,2,1,2,3,2,4,4,5,"All Weather stylish wicker set. I do wish that color options for the wicker and cushions was available.",4,3,3,1,3,2,2,2,2,3,0,1,0,0,0,0
"128",2,20,"English","0",1,2,4,3,1,1,0,1,0,2,5,3,2,2,2,4,3,4,4,2,1,6,"50",2,5,2,1,2,6,6,3,3,2,2,2,5,5,6,2,2,2,3,4,3,2,2,5,3,6,6,2,2,4,3,6,2,2,2,2,2,4,6,5,6,6,6,6,6,6,5,6,6,7," / I found the text on the right a little absurd, on the ""right idea"" is that the idea is to promote but to stand so much before the decision of the person could create some conflict",6,6,5,4,5,5,4,5,6,6,0,0,0,0,1,0
"129",2,33,"ENGLISH","",1,4,4,3,0,0,1,0,0,1,2,3,3,2,2,2,3,2,2,2,5,3,"520",6,2,7,7,7,2,3,6,6,6,6,3,6,6,4,3,4,6,7,7,6,1,5,6,3,6,7,1,6,7,7,7,6,4,4,5,3,5,1,1,1,1,1,1,1,1,1,1,1,4,"A WICKER SET OF FURNITURE THAT WAS FOR A SALE.  A WOMAN WEARING A RED FLANNEL SHIRT THAT IS MAKING THE CHOICE ABOUT WHICH PIECE OF FURNITURE TO PURCHASE",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"130",2,45,"english","",1,1,3,3,0,1,0,1,0,1,4,2,3,2,2,4,3,3,2,2,4,4,"599",4,3,5,4,4,6,4,4,5,3,3,3,6,6,4,5,6,4,4,6,4,2,3,5,6,2,6,2,5,4,3,6,4,3,2,5,1,5,3,4,3,3,3,3,3,4,3,4,5,4,"I thought the ad was nice but did not see the woman as a necessary part.  I didnt really like her outfit choice either.  It did not seem to blend in well with the reset of the ad.",3,3,4,3,4,4,3,3,3,3,0,0,1,0,0,0
"131",2,55,"english","",1,4,5,4,1,1,0,1,0,2,1,3,2,1,2,2,2,2,2,2,6,2,"399",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,5,5,3,3,3,5,1,2,2,1,1,1,1,3,1,2,4,4,"An all weather wicker patio set with plush cushions. ",2,2,2,1,1,1,2,1,2,2,0,0,0,0,1,0
"132",2,36,"English","",2,2,1,4,1,0,1,0,0,1,3,3,4,2,2,3,4,4,4,2,5,2,"550",4,5,6,4,4,1,1,4,6,4,6,4,6,7,4,4,4,4,4,6,4,5,5,4,4,4,7,1,2,6,7,4,4,4,4,4,4,6,1,1,1,1,1,1,1,2,1,1,2,4,"I seen a wicker furniture set with gray pillow cushion and a customer smile. A description about furniture being good for all seasons and a quote about my choice is the right choice. It's an okay but who is it for? What other types of furniture do they have?  Ad just leaves you looking for more information. ",3,3,2,2,2,6,3,1,7,4,0,1,0,0,0,0
"133",2,38,"English","n/a",1,4,4,5,1,2,0,0,1,1,5,5,4,4,4,4,4,4,4,3,3,5,"500",3,3,4,2,3,4,4,3,4,4,4,4,4,6,4,2,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,2,2,1,2,1,4,4,4,3,3,3,3,3,5,4,4,6,4,"a guy with sunglasses saying ""it's the right choice because it's my choice"" standing in front of brown wicker furniture with blue pillows described as being durable and all weather.  I like the look of the furniture, but nothing made of wicker is all weather, it will absorb moisture and crack in the sun.",3,3,4,3,3,5,3,3,5,5,0,0,0,0,0,1
"134",2,31,"english","",2,2,4,6,0,1,0,1,0,1,5,3,5,5,5,5,5,5,5,5,7,1,"100",7,1,7,7,7,1,1,7,7,7,7,1,7,7,1,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,4,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,"It is a furniture ad. It features a smart woman telling you it fits her style.",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
"135",2,26,"English","",1,1,6,6,0,0,1,0,0,1,2,2,4,5,3,4,4,4,4,4,3,4,"750",4,5,4,4,4,5,4,4,6,4,4,4,5,4,4,4,4,4,4,4,4,5,4,6,4,4,5,6,4,5,3,5,5,5,2,6,4,3,3,4,4,3,2,3,2,6,3,3,4,4,"The advertisement included a woman in glasses talking about making the right choice to choose some grey colored wicker patio furniture. I don't have any strong feelings about the advertisement but I thought the set was nice looking.",4,3,4,3,4,5,3,2,5,4,1,0,0,0,0,0
"136",2,51,"english","",2,7,3,2,1,0,1,0,0,1,1,3,4,4,2,4,3,4,3,2,4,5,"250",4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,6,4,4,6,4,4,4,4,4,3,4,1,1,3,3,6,2,4,1,1,1,5,2,2,2,2,2,2,2,2,2,4,3,4,"I saw some outdoor wicker furniture and a man smiling, the furniture looked comfortable.",3,3,4,3,3,4,4,2,3,4,0,1,0,0,0,0
"137",2,57,"English","",1,7,2,4,1,0,1,0,0,1,1,3,3,2,2,3,3,3,3,3,6,2,"600",7,1,7,7,7,1,1,7,7,7,7,1,7,7,4,7,7,7,7,7,7,1,7,7,1,4,7,1,4,7,7,7,6,6,5,4,4,7,3,3,3,3,3,3,3,4,3,3,4,3,"A dark-haired man with glasses in bottom right of ad. He is smiling. Top right, there is a quote from him in a black font. Top left, there are two lines of dark gray text. Below that, there is a photo of a gray livingroom set. Below the ad, there is more gray text.",2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0
"138",2,38,"English","",2,7,1,2,0,0,1,0,0,1,1,5,3,3,3,3,5,3,3,3,4,4,"150",4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,"A casually-dressed, bespectacled white woman. Her choice is apparently the right choice. The patio furniture pictured is described as stylish.",5,4,5,4,4,4,4,4,3,4,1,0,0,0,0,0
"139",2,58,"english","",1,1,5,5,0,2,0,0,1,1,5,5,4,4,3,4,4,4,4,3,3,4,"300",4,3,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,5,4,4,4,4,4,4,4,5,3,5,5,5,6,4,4,5,4,5,3,4,4,3,3,3,3,3,2,4,4,4,"an outdoor furniture set made of wicker with gray cushions, and a woman in sunglasses standing in the foreground with a big smile on her face.",4,4,4,4,3,3,3,3,4,5,0,0,0,1,0,0
"140",1,21,"english","",1,3,3,2,0,2,0,0,1,1,5,5,2,3,2,3,3,3,2,3,4,4,"400",6,2,6,6,6,1,1,6,5,4,6,3,7,4,3,7,5,7,7,7,7,4,2,6,2,6,6,7,7,7,7,6,5,5,4,4,4,4,2,5,3,4,4,4,3,2,3,4,3,4,"it is very interesting  i like that is is weather resistant but i need to see more angles on how the set looks",4,4,5,3,4,3,3,3,3,4,0,0,0,1,0,0
"141",2,60,"English","58 yrs.",1,2,2,3,0,0,1,0,0,1,1,1,2,5,5,4,4,4,4,4,7,1,"350",7,1,7,6,7,1,2,7,6,5,7,1,7,7,4,6,6,7,7,7,7,2,6,7,1,5,7,1,2,7,7,7,6,3,4,6,3,7,1,2,1,2,1,1,1,1,1,1,1,3,"Agreeing that the furniture is very stylish, I feel the attractive young lady should be dressed more stylish than a checked flannel shirt.  In my opinion the last two words in the text, comfortably and entertained, don't go together well. Otherwise the ad is very appealing.",2,2,2,1,2,1,1,1,1,1,1,0,0,0,0,0
"142",1,21,"English","",2,2,4,3,1,1,0,1,0,1,5,4,4,3,2,4,4,4,4,4,4,5,"45",3,5,3,1,1,6,6,2,2,2,2,7,4,4,4,3,3,3,3,4,4,4,3,3,4,2,2,7,1,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,3,6,4,3,4,6," / I have only seen a fairly basic advertisement, very little elaborate and with unnecessary images (the person in the middle)",6,6,6,4,7,4,4,4,4,5,0,0,0,0,1,0
"143",2,40,"English","",2,4,4,2,1,2,0,0,1,1,3,5,3,3,2,3,3,3,3,3,4,4,"250",5,3,4,3,3,6,4,4,4,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,2,2,3,4,2,3,2,2,2,2,2,4,1,3,4,4,"Rhe ad was for a patio set with deep comfortable cushions. Also highlighted a picture of a young guy and the sentiment of It's the right choice, because it's my choice.  /  / My thoughts are, the furniture set is nice, but the guy sticks out first in the picture. And, I didn't really care for his caption about choice. ",5,5,4,4,6,6,4,5,6,7,0,0,0,0,0,1
"144",2,33,"English","",1,4,5,3,0,2,0,0,1,1,5,5,3,4,4,3,5,3,3,3,4,3,"150",4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,3,3,3,3,3,4,3,4,4,4,"I saw an ad for an outdoor furniture set: wicker with plush blue cushions. /  / I don't understand the line: ""It's my choice because it's the right choice.""  It would make more sense the other way around.  ",4,3,4,4,4,3,3,4,4,4,0,0,0,1,0,0
"145",2,19,"English",NA,2,6,3,3,1,1,0,1,0,1,3,2,4,2,2,5,4,3,4,2,2,6,"300",2,2,2,2,1,6,7,3,4,3,2,6,4,5,5,3,4,2,3,6,3,5,3,4,2,3,4,3,4,4,4,2,2,1,1,2,2,4,5,6,6,7,5,6,6,7,4,5,6,6,"Some guy choose an all wicker out door set because it is the ""right choice"". How does he know that? why do I trust him? Shouldn't he have to make me believe him",5,5,6,5,7,7,5,4,7,7,0,0,0,0,1,0
"146",2,51,"English","",1,1,3,3,1,0,1,0,0,1,3,3,4,2,2,4,4,4,3,3,5,3,"500",6,1,5,6,5,4,4,5,6,5,5,3,7,7,4,5,5,5,5,6,5,3,5,6,3,6,6,2,2,5,7,6,4,4,3,3,1,6,2,2,1,2,2,2,2,5,4,3,6,3,"The ad was for wicker furniture. I was looking for the brand or company but could not find one.",3,3,3,3,3,4,4,2,4,4,0,1,0,0,0,0
"147",2,67,"russian","57",2,5,2,6,0,0,1,0,0,1,1,2,3,2,2,3,2,2,2,2,4,6,"700",4,4,2,4,3,4,5,3,6,4,3,5,5,5,6,4,5,3,4,5,4,5,4,5,3,5,4,2,3,5,6,5,5,4,5,4,4,5,5,5,4,5,4,5,5,6,4,4,6,7,"The furniture set-coffie table,chair and sofa.Durable,all-weather furniture with plush cushions",6,5,6,4,5,3,4,4,4,5,1,0,0,0,0,0
"148",2,20,"English","N/A",1,6,2,3,1,0,1,0,0,1,1,2,5,4,4,5,4,4,4,4,3,5,"200",4,5,6,4,3,5,4,3,4,6,2,1,4,6,3,3,5,5,5,4,4,4,4,4,5,5,7,1,6,5,4,6,2,3,1,2,2,5,4,3,2,1,1,3,4,6,2,3,5,4,"The ad was showing off a wicker outdoor furniture set with a focus on how stylish it is and a man with folding arms smiling showing that if he wants it, I should want it too. I thought the man was distracting and not really identifiable so I didn't care what he found stylish. I wished I had seen a close-up of the set instead of this guy blocking half the picture.",5,4,2,4,5,3,2,2,6,5,0,1,0,0,0,0
"149",1,38,"English","",1,4,4,5,0,2,0,0,1,2,5,5,4,2,2,2,4,4,4,2,3,5,"999",5,1,6,6,5,5,4,6,6,2,5,1,7,7,6,3,7,6,7,7,7,1,4,6,2,3,7,1,1,5,3,4,6,5,5,6,3,5,3,5,3,4,3,3,3,7,5,4,7,5,"Lady in red plaid smiling.  Selling outdoor comfy furniture.",4,3,4,2,3,5,3,2,5,6,0,0,0,1,0,0
"150",1,43,"English","All my life",1,1,3,5,1,0,1,0,0,1,1,3,3,2,2,2,2,2,2,2,6,3,"500",6,3,6,5,6,2,4,6,6,5,5,2,6,6,4,5,6,6,6,7,5,1,6,6,2,6,6,2,6,6,6,6,4,6,4,4,5,5,3,3,2,2,3,2,3,3,3,2,3,4,"Chairs and comfortable seating, and the promise of it being stylish and suited to any weather condition.",2,2,2,2,3,1,3,2,2,3,0,1,0,0,0,0
"151",1,66,"english","",1,5,3,5,0,1,0,1,0,1,5,5,4,4,3,3,5,4,4,4,3,6,"200",5,2,4,6,4,3,5,4,6,6,6,3,5,6,4,6,6,5,5,6,5,3,5,6,4,4,5,5,3,5,6,6,6,5,6,6,6,6,3,4,3,5,4,4,3,3,5,5,4,5,"an advert for wicker furniture and how stylish it is",3,2,4,2,3,2,2,3,3,4,0,0,1,0,0,0
"152",2,22,"English","",1,6,2,3,1,1,0,1,0,2,3,3,4,4,4,4,5,5,5,4,4,5,"400",4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,5,4,4,4,4,"An advertisement on wicker furniture and a guy saying it is the right choice",3,3,4,3,4,4,3,3,5,5,0,0,0,0,1,0
"153",2,32,"english","",1,1,4,5,0,1,0,1,0,1,1,3,3,2,2,3,3,3,3,3,7,1,"600",7,1,7,7,7,1,1,7,4,4,7,1,7,7,4,7,7,7,7,7,7,1,4,7,1,7,7,1,4,7,7,7,6,5,4,5,5,6,1,1,1,1,1,1,1,1,1,1,1,7,"There was an outdoor seating set, grayish color, to include one single chair, a love seat, and coffee table. The ad itself was self explanatory along with a customer stating that it was her choice. ",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
"154",2,20,"English","",2,6,7,3,1,0,1,0,0,1,1,3,3,3,2,2,2,2,2,2,3,3,"150",4,4,4,4,5,3,4,5,4,4,4,3,5,4,4,4,4,5,5,6,5,3,4,5,4,5,5,3,5,5,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"The ad is for a set of wicker furniture pieces. On the right hand side of the ad is a person wearing flannel with a quote over their head.",4,4,4,4,5,4,4,4,4,5,0,1,0,0,0,0
"155",2,38,"English","",1,3,2,2,0,2,0,0,1,2,3,3,4,4,3,3,3,3,3,3,4,4,"200",5,3,5,4,4,4,4,4,4,4,4,2,6,6,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"It was an okay ad but not that memorable. Why does it have to be 50 characters? I really can't think of 50 characters worth to say about it.",4,4,4,3,4,4,4,4,4,4,0,0,0,1,0,0
"156",1,38,"english","38",2,1,4,6,0,1,0,1,0,1,4,3,2,3,2,4,3,2,2,3,7,1,"500",4,3,4,7,5,3,3,5,4,4,4,4,5,6,6,6,3,6,5,4,5,5,3,5,3,7,5,1,4,7,4,4,7,7,4,7,6,4,3,3,2,3,1,3,2,3,2,2,2,3,"Was a sales ad to have style in comfort where there is a girl with glasses in the ad",2,2,4,3,4,3,2,3,2,2,0,0,1,0,0,0
"157",2,39,"english","na",1,4,2,2,1,0,1,0,0,1,1,1,4,4,4,4,4,4,4,3,4,3,"200",4,6,2,3,2,6,4,4,4,6,3,4,3,4,3,4,4,3,3,3,4,5,4,2,6,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,"a man with glasses helping to advertise a deck set",4,4,5,3,3,3,3,4,4,4,0,1,0,0,0,0
"158",2,26,"english","",2,2,2,3,0,0,1,0,0,1,3,3,3,3,3,3,3,3,4,3,4,6,"450",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,5,5,5,5,6,5,5,6,6,4,"its an ad about furniture, describes the style and the strong material of the cushions, dont like it to much, it would be better if a couple of people were on the cushions having a good time",5,5,1,3,6,5,5,4,5,5,1,0,0,0,0,0
"159",2,58,"english","0",2,7,2,2,1,1,0,1,0,1,1,1,2,2,2,2,2,2,2,2,7,1,"300",7,1,7,7,7,1,1,7,7,7,7,1,7,7,1,7,7,7,7,7,7,1,7,7,1,7,7,1,7,7,7,7,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,"a wicker set in gray my thoughts are nice set and love the color",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
"160",2,30,"English","",1,4,3,5,1,2,0,0,1,1,2,5,3,4,2,3,4,4,3,2,5,3,"500",5,4,6,3,5,3,5,4,5,4,4,3,5,5,4,5,6,5,5,6,5,4,4,5,3,5,5,4,5,5,5,5,3,4,4,4,4,5,2,2,2,3,2,2,2,4,2,4,4,3,"This is an ad for an outdoor wicker furniture set with a picture of a guy in sunglasses smiling. I think it's a good ad",2,2,3,1,3,3,2,1,2,2,0,0,0,0,0,1
"161",2,41,"English","",2,4,4,3,0,0,1,0,0,1,2,3,2,1,2,2,2,2,2,2,6,1,"200",6,1,5,5,5,1,4,5,4,4,4,1,7,6,4,5,6,5,5,6,6,2,4,5,1,5,5,2,2,6,7,6,4,6,4,5,4,6,1,1,1,2,2,2,1,5,1,2,3,5,"Wicker patio furniture with gray cushions. It looks very soft and comfortable.",1,2,2,1,1,2,1,2,2,1,1,0,0,0,0,0
"162",1,45,"English","",2,1,3,5,1,0,1,0,0,1,3,4,3,2,2,3,2,3,2,3,6,5,"150",6,3,5,5,6,3,4,5,6,4,5,5,6,7,4,5,6,5,5,6,5,4,6,6,3,6,4,4,5,6,5,5,5,5,4,4,4,5,2,1,2,3,3,3,3,2,1,3,5,4,"Is an advertising about the comfort, the tranquility, and the comity",2,2,1,1,2,3,3,3,1,2,0,1,0,0,0,0
"163",2,20,"English","",1,3,3,2,1,1,0,1,0,2,1,1,2,1,1,2,3,4,4,2,7,3,"3,000",4,3,4,4,4,4,3,4,7,4,4,4,4,4,4,4,4,4,4,7,5,4,4,4,4,1,4,4,4,6,7,7,4,5,4,7,4,7,1,1,1,2,1,1,3,2,1,1,1,4,"What I have seen in this advertisement is a neutral color furniture set. All over the page, it is saying that this furniture set because it will cover your fashion wants. That choosing this set will be your choice.",4,5,1,1,2,3,3,1,1,3,0,0,0,0,1,0
"164",1,52,"English","",2,1,4,3,1,1,0,1,0,1,5,4,4,4,5,3,4,4,5,3,1,7,"595",2,2,1,3,1,7,6,3,5,3,2,6,5,7,6,2,6,3,4,6,3,6,2,3,7,1,6,7,2,1,1,1,2,1,2,3,1,4,5,6,6,5,5,6,7,6,5,6,7,5,"A twenty something in a flannel shirt and sun glasses with his arms folded, standing in front of a couch being advertised for a furniture store. Did not understand the relevancy or connection between the model and the product being advertised.",7,5,5,4,6,6,5,6,7,7,0,0,0,0,1,0
"165",1,45,"English","Native Speaker",1,1,4,5,1,0,1,0,0,1,1,5,4,5,4,4,3,2,2,3,4,4,"300",6,2,6,6,6,2,3,6,6,6,6,2,6,6,4,6,6,6,6,6,6,2,6,6,2,5,5,3,3,5,5,6,4,5,1,1,5,5,2,2,2,2,2,2,2,3,2,3,3,3,"This was an ad for all weather wicker seating.  It showed a satisfied customer, but unfortunately didn't talk about price, or even name the retailer.",7,7,7,7,6,7,7,4,7,7,0,1,0,0,0,0
"166",1,30,"English ","",2,1,3,5,0,1,0,1,0,1,2,4,2,1,1,1,1,1,1,2,7,1,"300",7,2,7,7,7,1,7,5,7,7,7,1,7,7,3,7,7,7,7,7,7,1,7,7,1,4,5,5,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I just saw a nice furniture chair in a well designed advertisement. And I think it's beautiful. ",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
"167",2,69,"English","",1,2,2,5,0,1,0,1,0,1,4,4,3,2,2,3,2,2,2,2,6,2,"800",7,1,7,4,7,1,4,7,4,7,6,1,1,1,4,7,7,4,7,7,4,1,4,6,1,4,5,2,1,7,7,7,6,6,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,"The girl was thinking that it was her choice because it was the right choice so she must be certain of her choice. The outdoor furniture looked like it would perform as the ad states; durable and nice looking. ",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
"168",2,21,"English","",1,6,1,5,0,0,1,0,0,1,1,1,5,1,5,5,5,5,5,5,4,7,"100",5,7,1,4,4,4,7,7,4,1,7,4,7,7,4,4,7,4,4,7,4,4,4,4,4,1,4,4,1,4,1,4,5,2,1,5,1,5,3,7,4,4,4,1,4,7,4,7,7,1,"Wicker chairs on a wooden porch, a girl in a red plaid shirt saying about how it was the right choice in picking the brand.",3,4,5,1,3,3,3,1,4,6,1,0,0,0,0,0
"169",2,25,"Spanish","10",2,2,1,5,1,2,0,0,1,1,5,3,3,2,2,4,3,4,3,3,6,3,"180",4,2,5,3,5,4,4,4,6,5,4,4,6,6,4,3,5,4,4,6,4,5,3,5,3,5,4,4,5,7,4,6,4,5,4,4,5,4,2,1,2,3,3,2,1,1,1,2,6,4," / 113/5000 / A game of receipt, to rest or receive visits, comfortable, safe and fresh. A young man with dark glasses.",2,1,1,3,2,1,3,1,1,2,0,0,0,0,0,1
"170",2,25,"spanish","15 years",2,6,1,4,0,2,0,0,1,1,2,5,4,3,2,3,4,2,3,2,3,3,"400",4,4,2,5,3,5,4,5,4,5,4,5,4,5,4,5,4,3,4,5,4,5,6,4,3,3,5,2,2,5,6,6,5,4,4,5,3,5,3,4,3,2,4,3,3,3,3,4,5,4,"I saw a propaganda about some beautiful furniture, a model wearing sunglasses, which seemed very relaxed but not very context with the background image",5,4,4,3,5,5,3,3,5,4,0,0,0,1,0,0
